nue_e 0 + e 10.
marley 1 + e 1.
gtbd 2 + e 1.
pqrpa 3 + e 1.
qrpa 4 + e 1.
rpa 5 + e 1.
rsrpa 6 + e 1.
sm_rpa 7 + e 1.
